Stadt;Länge total in m;Länge einzeln in m;Durchschn. Strassenlänge in m;Strassendichte m/km2;Kreuzungsdichte 1/km2

Stuttgart, Bike;446138.526000001;250247.68099999952;127.80780439223673;2153.611894897187;9.475846409379962
Stuttgart, Car;2676250.4380000453;1545320.7299999897;24.784217253933214;12918.868111831012;275.8518813367386
Berlin, Bike;2760690.053000004;1837170.4670000034;256.33744481652064;3099.4889417950494;6.237846418832759
Berlin, Car;10793601.57300041;6211589.633000089;35.78970507265634;12118.219747740864;175.00886643650676
Hamburg, Bike;1941717.472999998;1146050.8339999989;168.1165958632828;1982.1758483657063;5.6952461992045365
Hamburg, Car;7662905.050000071;4372654.4600000465;26.029564373646014;7822.572299852689;158.85337090955676
Leipzig, Bike;827750.303999999;485871.8209999992;167.4842540503272;2778.7112398960144;8.28158032162254
Leipzig, Car;3039415.7349999505;1692427.88600002;32.35319313337577;10203.147766601338;158.25975787700568
Bremen, Bike;1400516.0689999983;819776.734000001;152.8293687546609;4295.780010160172;13.538989937035149
Bremen, Car;3024051.9830000014;1818630.1270000136;28.253198387422728;9275.625139761714;181.98193769014395
Dresden, Bike;484488.8520000006;307550.3120000002;178.60064576074345;1475.8683324089297;4.63637417590444
Dresden, Car;3010309.6200000425;1670162.3580000189;27.92399989968432;9170.119437348822;167.89949766972734
Düsseldorf, Bike;916488.0019999977;517760.96099999925;152.10369007050508;4214.535300546385;13.395637808351417
Düsseldorf, Car;2396671.8549999674;1504565.5749999832;23.111606374807728;11021.266088242119;276.5902599584321
Erfurt, Bike;293512.4129999998;176617.4350000001;238.3501147098517;1089.3627385472132;2.627721298081616
Erfurt, Car;1631544.7690000082;958219.9969999983;30.00532321903862;6055.430703778209;108.23391030318656
Hannover, Bike;1080512.8370000029;606929.7340000006;198.60266164921487;5300.668769078659;12.568396155370701
Hannover, Car;2496918.8350000116;1449135.8600000031;35.814736295783774;12249.12766826184;177.5028407844567
Magdeburg, Bike;519207.30899999925;332558.21000000025;274.38796204620485;2574.4522366393126;5.736901592407453
Magdeburg, Car;1642673.9679999964;924049.6020000075;22.63329664192832;8145.081160609723;190.1358932259777
Mainz, Bike;287563.0170000001;166828.35000000003;137.08163516844704;2934.6156616804083;12.450248799726902
Mainz, Car;1087570.1849999886;664640.0009999939;26.150456444758966;11098.786385585961;234.72801036272006
Potsdam, Bike;291599.58;157285.45000000004;320.3369653767822;1549.8913949952996;2.5034290071432412
Potsdam, Car;1107134.7469999953;601884.4070000031;36.95489697304618;5884.571635787647;78.21222471361527
Saarbrücken, Bike;167513.565;96222.34999999999;247.35822622107966;1000.7189922633094;2.658411284824442
Saarbrücken, Car;1391855.2879999974;812911.7279999958;24.35252772535262;8314.884953846666;185.42568060599066
Schwerin, Bike;268369.0240000001;136943.37299999996;299.0029978165938;2056.5243918634287;3.2567948920288092
Schwerin, Car;665484.2550000026;376099.22799999843;35.08388320895508;5099.636993904955;74.87563032944351
Wiesbaden, Bike;145751.4150000001;84458.07500000004;255.16034743202428;713.1521213352124;1.9278161780183989
Wiesbaden, Car;1576988.0799999954;918437.5840000017;29.04150463241112;7716.0993227567615;141.66023854311848
Karlsruhe, Bike;522727.72500000126;336503.9900000003;140.444069282137;3014.540692375777;12.866048543130827
Karlsruhe, Car;1652217.4959999903;990099.3629999966;22.75305901413298;9528.24316779289;233.37085898470426
Münster, Bike;1168793.946999991;715108.1179999971;141.54950870942145;3855.7733248653694;13.281505645843405
Münster, Car;2572484.9229999273;1398878.1139999873;30.583924309669808;8486.456291274359;138.58489087834963
Erlangen, Bike;280428.1170000003;151391.3810000002;171.25721832579208;3642.0164011119123;11.078204366177937
Erlangen, Car;845800.5010000053;492283.5030000018;25.2738219016327;10984.701996592903;233.34360826156976
Freiburg im Breisgau, Bike;426249.31699999893;237944.73700000008;116.52533643486781;2787.529685529332;11.86296059109045
Freiburg im Breisgau, Car;1217162.9040000068;702583.3020000019;25.866405345703626;7959.843199056941;163.48519945792182
Heidelberg, Bike;192426.0090000001;110701.52099999995;185.74080704697977;1769.1598737626418;5.314117422841766
Heidelberg, Car;870560.976999992;516098.8870000014;20.99584585655593;8003.915666992747;211.57174763743032
Kiel, Bike;515333.4939999998;281854.21499999904;24.37763492475342;4351.27622816426;95.24394673576734
Kiel, Car;1218409.2989999985;714904.9639999907;25.011544064653492;10287.775742581514;223.40109421408974
Greifswald, Bike;118942.41299999996;61381.59899999998;246.51244578313245;2344.801226845246;4.889010484911058
Greifswald, Car;393374.58800000115;207815.14099999954;30.0701983793951;7754.889053345053;122.38297213841874
München, Bike;2722392.089999988;1508857.5949999995;148.96412232204557;8761.200198846062;23.373781197042494
München, Car;4736629.486000081;2798404.7340000216;29.765196711198325;15243.417488259085;275.43280153243546
Bonn, Bike;536374.9879999987;289747.26699999976;198.45703219178066;3803.639312594041;10.637071258980992
Bonn, Car;1677827.3909999852;971758.594999995;25.34846084620187;11898.11301222467;248.80109674756542
Barcelona, Bike;434207.72700000094;303857.87100000074;27.268946513506304;4291.614465733058;106.18146877282574
Barcelona, Car;1759971.012000011;1433152.3560000178;25.517277188234775;17395.16960362633;498.5478419780418
Utrecht, Bike;598182.2489999998;346800.06000000046;101.52226580796267;7974.705878510899;38.38157729122598
Utrecht, Car;1499072.2329999923;994017.9490000035;34.632358337398216;19984.97977631814;332.44925075071285
Antwerpen, Bike;1139545.994000002;724978.3010000008;142.487873624214;5600.32784997272;17.90853093490894
Antwerpen, Car;2222896.453999991;1484930.1189999895;31.94222420839764;10924.481314917186;205.84490071587842
Montreal, Bike;1144011.0509999979;694516.7429999973;42.58487601937564;2584.693603330037;36.16954561718708
Montreal, Car;6562827.651999845;4384756.511999961;55.39316184291928;14827.565378021438;148.93927079619007
New York City, Bike;2209302.8899999964;1450954.1200000017;307.40553389830546;1819.7937915530592;2.985897734637848
New York City, Car;16489234.026999585;11314239.635999918;50.45841365746588;13582.114904036243;151.39366395337026
